design,horizon_hours,horizon_steps,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,skill_vs_persistence_mean,skill_vs_persistence_std
pca_embedding_gb,1,12,1.086348726116627,0.12896070249916314,1.1458450574242058,0.12832471095550155,39.15449601576533,3.435441323136753,0.5919719331498073,0.04847555079351598
pca_embedding_gb,3,36,0.762362855614709,0.03612857699195655,0.8874820979805714,0.02083003551053042,28.704599822717128,1.236435499715145,0.7135866934884977,0.011575332103335306
pca_embedding_gb,6,72,1.1592806226216346,0.1156041974241305,1.2502030347549637,0.11116741640225575,38.11437508395491,3.029118602655303,0.6380143139762928,0.03703150298323394
pca_embedding_gb,12,144,1.2269379409004064,0.08910453139403314,1.3653084613192503,0.07511796134062437,37.41368916770891,2.2329427855350197,0.6584247820462246,0.024671936398155497
raw_window_gb,1,12,0.9060322770821883,0.1429931041659522,0.9930691886373864,0.12796616826666482,25.709972858217583,4.158472082708927,0.5821335495279313,0.061289400327946456
raw_window_gb,3,36,0.857798483146621,0.057793462097451134,0.9629727524281673,0.05333100343836381,26.96047360001286,0.843297445892767,0.6420234064359265,0.027650271645732614
raw_window_gb,6,72,0.8461507384218121,0.09883319656236367,0.9627782032967895,0.08876539863181405,27.12522585902227,2.8704201321343383,0.7392213882403915,0.030649205383529464
raw_window_gb,12,144,1.6376538318929321,0.19339687529883323,1.748176942862182,0.22973066762165034,46.27720031667117,3.7734904815742825,0.541355490110625,0.04217108127887384
statistical_feature_gb,1,12,0.8728656302069041,0.06177646903070637,0.9377641410830343,0.055971681069274366,32.506123641656835,3.1077242997073373,0.6631265803289378,0.006811032894654454
statistical_feature_gb,3,36,0.7507903709440824,0.07184180773479754,0.8715129254449079,0.06521112085619346,25.558443505223437,1.5658439217868243,0.6947319508808043,0.031947755846548735
statistical_feature_gb,6,72,1.1133544421477661,0.06985822738547952,1.2186940780285778,0.06106327061969746,32.87664155147702,0.5450668603435747,0.6575490140885618,0.020449766157665753
statistical_feature_gb,12,144,2.0071032739684647,0.09926354796500039,2.0975417998993304,0.10363849358177553,53.37620858689682,1.5071497136108245,0.4514912535919716,0.02210004630486228
token_state_gb,1,12,0.7788516581398516,0.0783402152041975,0.8462769168384361,0.08012916854514449,30.740385653205553,2.3285588614556274,0.7115025384738933,0.029993099611457266
token_state_gb,3,36,0.5659290878168435,0.012752490986978107,0.6868495479019198,0.006929887702939876,22.345136771196355,0.2753974841110009,0.7833363032078159,0.006072482073933511
token_state_gb,6,72,0.8244020150454606,0.0438026304690308,0.9490406236693136,0.04750476798903654,26.669510113265897,1.0518581306577337,0.7459750630898421,0.013426332936867685
token_state_gb,12,144,0.7750175517590531,0.012705725166000926,0.923882421178795,0.013710369343274102,24.350684098353415,0.14637436100706083,0.7667428733497793,0.0047828999770253835
