family,design,horizon_hours,mae_mean,rmse_mean,skill_vs_persistence_mean
lstm_existing,raw_lstm,1,0.6733409803608326,0.7482454963074685,0.7573421122595554
gradient_boosting,token_state_gb,1,0.7788516581398516,0.8462769168384361,0.7115025384738933
lstm_existing,pca_compressed_lstm,1,0.857982368228213,0.9256075464076852,0.7028587999767091
gradient_boosting,statistical_feature_gb,1,0.8728656302069041,0.9377641410830343,0.6631265803289378
gradient_boosting,raw_window_gb,1,0.9060322770821883,0.9930691886373864,0.5821335495279313
lstm_existing,lstm_compressed_lstm,1,1.0055861317166013,1.0759888086632672,0.6255691381442572
gradient_boosting,pca_embedding_gb,1,1.086348726116627,1.1458450574242058,0.5919719331498073
gradient_boosting,token_state_gb,3,0.5659290878168435,0.6868495479019198,0.7833363032078159
gradient_boosting,statistical_feature_gb,3,0.7507903709440824,0.8715129254449079,0.6947319508808043
gradient_boosting,pca_embedding_gb,3,0.762362855614709,0.8874820979805714,0.7135866934884977
lstm_existing,raw_lstm,3,0.7677631496689917,0.8864543691450395,0.7128724972972091
gradient_boosting,raw_window_gb,3,0.857798483146621,0.9629727524281673,0.6420234064359265
lstm_existing,pca_compressed_lstm,3,0.9538691684048546,1.060515277957427,0.6432141006404128
lstm_existing,lstm_compressed_lstm,3,1.1305488580836616,1.233692994256741,0.5575101400254172
gradient_boosting,token_state_gb,6,0.8244020150454606,0.9490406236693136,0.7459750630898421
gradient_boosting,raw_window_gb,6,0.8461507384218121,0.9627782032967895,0.7392213882403915
lstm_existing,raw_lstm,6,0.8701064206438724,0.972878756552999,0.7287141096959523
lstm_existing,pca_compressed_lstm,6,0.96452183184469,1.0649483713909165,0.7010348948724172
lstm_existing,lstm_compressed_lstm,6,1.0942634476135469,1.2078301618531448,0.6603869152522595
gradient_boosting,statistical_feature_gb,6,1.1133544421477661,1.2186940780285778,0.6575490140885618
gradient_boosting,pca_embedding_gb,6,1.1592806226216346,1.2502030347549637,0.6380143139762928
gradient_boosting,token_state_gb,12,0.7750175517590531,0.923882421178795,0.7667428733497793
lstm_existing,raw_lstm,12,0.7990006579814581,0.9464628446015386,0.7730911909473069
lstm_existing,pca_compressed_lstm,12,1.1461326540621175,1.2340814024115043,0.6935703746639315
gradient_boosting,pca_embedding_gb,12,1.2269379409004064,1.3653084613192503,0.6584247820462246
lstm_existing,lstm_compressed_lstm,12,1.2274178377240657,1.3473235443881753,0.6520492099479009
gradient_boosting,raw_window_gb,12,1.6376538318929321,1.748176942862182,0.541355490110625
gradient_boosting,statistical_feature_gb,12,2.0071032739684647,2.0975417998993304,0.4514912535919716
