top1_accuracy,top3_accuracy,macro_f1,horizon,history_length,config_id,epochs_ran,n_train,n_eval,split
0.8469565217391304,0.9860869565217392,0.802450235623147,1,3,gru_h3_e8_u24_d010_lr1e3,28,5362,1150,val
0.8495652173913043,0.9843478260869564,0.8165186611439266,1,3,gru_h3_e12_u32_d015_lr1e3,28,5362,1150,val
0.8530434782608696,0.9834782608695652,0.8182221604417825,1,3,gru_h3_e16_u48_d020_lr5e4,28,5362,1150,val
0.8539130434782609,0.9878260869565216,0.8119934981973974,1,4,gru_h4_e8_u32_d010_lr1e3,26,5361,1150,val
0.86,0.9834782608695652,0.8203871944550196,1,4,gru_h4_e12_u48_d015_lr1e3,21,5361,1150,val
0.8504347826086956,0.9834782608695652,0.811987037048066,1,4,gru_h4_e16_u64_d020_lr5e4,26,5361,1150,val
0.851304347826087,0.9878260869565216,0.8066870097499454,1,6,gru_h6_e8_u32_d015_lr1e3,25,5359,1150,val
0.8452173913043478,0.982608695652174,0.8083790855892996,1,6,gru_h6_e12_u48_d020_lr1e3,19,5359,1150,val
0.851304347826087,0.9834782608695652,0.8146233678280863,1,6,gru_h6_e16_u64_d025_lr5e4,28,5359,1150,val
0.8478260869565217,0.9834782608695652,0.8130620951647318,1,9,gru_h9_e12_u48_d020_lr1e3,22,5356,1150,val
0.8504347826086956,0.9817391304347826,0.8140338624274552,1,9,gru_h9_e16_u64_d025_lr5e4,28,5356,1150,val
0.7095652173913043,0.9347826086956522,0.6263439356784166,3,3,gru_h3_e8_u24_d010_lr1e3,28,5360,1150,val
0.7191304347826087,0.937391304347826,0.6287282311707929,3,3,gru_h3_e12_u32_d015_lr1e3,28,5360,1150,val
0.7139130434782609,0.9356521739130436,0.6239935292638606,3,3,gru_h3_e16_u48_d020_lr5e4,28,5360,1150,val
0.7034782608695652,0.928695652173913,0.624941590299813,3,4,gru_h4_e8_u32_d010_lr1e3,28,5359,1150,val
0.7008695652173913,0.9234782608695652,0.6142090456040645,3,4,gru_h4_e12_u48_d015_lr1e3,22,5359,1150,val
0.7008695652173913,0.9382608695652174,0.6266980137062672,3,4,gru_h4_e16_u64_d020_lr5e4,28,5359,1150,val
0.6930434782608695,0.9304347826086956,0.6186970155855893,3,6,gru_h6_e8_u32_d015_lr1e3,25,5357,1150,val
0.6930434782608695,0.9243478260869564,0.6132639272621235,3,6,gru_h6_e12_u48_d020_lr1e3,21,5357,1150,val
0.6956521739130435,0.9330434782608696,0.6258186842778333,3,6,gru_h6_e16_u64_d025_lr5e4,28,5357,1150,val
0.6808695652173913,0.9243478260869564,0.6004203153202738,3,9,gru_h9_e12_u48_d020_lr1e3,19,5354,1150,val
0.6852173913043478,0.9330434782608696,0.6120649960895719,3,9,gru_h9_e16_u64_d025_lr5e4,28,5354,1150,val
0.5504347826086956,0.8643478260869565,0.4471980749555542,6,3,gru_h3_e8_u24_d010_lr1e3,25,5357,1150,val
0.548695652173913,0.8582608695652174,0.4447222798290393,6,3,gru_h3_e12_u32_d015_lr1e3,23,5357,1150,val
0.5469565217391305,0.8669565217391304,0.4401462897451489,6,3,gru_h3_e16_u48_d020_lr5e4,28,5357,1150,val
0.54,0.8617391304347826,0.4339020115680038,6,4,gru_h4_e8_u32_d010_lr1e3,21,5356,1150,val
0.5347826086956522,0.86,0.4298988277005124,6,4,gru_h4_e12_u48_d015_lr1e3,19,5356,1150,val
0.5417391304347826,0.86,0.4213850831557821,6,4,gru_h4_e16_u64_d020_lr5e4,26,5356,1150,val
0.5313043478260869,0.8573913043478261,0.4191828293235702,6,6,gru_h6_e8_u32_d015_lr1e3,18,5354,1150,val
0.5252173913043479,0.8556521739130435,0.4176875493325933,6,6,gru_h6_e12_u48_d020_lr1e3,16,5354,1150,val
0.5408695652173913,0.8521739130434782,0.4366241386577657,6,6,gru_h6_e16_u64_d025_lr5e4,25,5354,1150,val
0.5321739130434783,0.8530434782608696,0.4034467913689376,6,9,gru_h9_e12_u48_d020_lr1e3,15,5351,1150,val
0.5278260869565218,0.8469565217391304,0.4348819671804376,6,9,gru_h9_e16_u64_d025_lr5e4,26,5351,1150,val
0.4730434782608695,0.7739130434782608,0.3294381079133881,12,3,gru_h3_e8_u24_d010_lr1e3,17,5351,1150,val
0.468695652173913,0.7782608695652173,0.3241501143735759,12,3,gru_h3_e12_u32_d015_lr1e3,14,5351,1150,val
0.4791304347826087,0.782608695652174,0.3312729977704059,12,3,gru_h3_e16_u48_d020_lr5e4,22,5351,1150,val
0.4756521739130435,0.7939130434782609,0.3261516889500524,12,4,gru_h4_e8_u32_d010_lr1e3,14,5350,1150,val
0.4730434782608695,0.7843478260869565,0.3281075604396475,12,4,gru_h4_e12_u48_d015_lr1e3,12,5350,1150,val
0.4817391304347826,0.7834782608695652,0.3305262555435682,12,4,gru_h4_e16_u64_d020_lr5e4,17,5350,1150,val
0.4678260869565217,0.7869565217391304,0.32069333945149847,12,6,gru_h6_e8_u32_d015_lr1e3,14,5348,1150,val
0.4678260869565217,0.7817391304347826,0.3222146693739139,12,6,gru_h6_e12_u48_d020_lr1e3,12,5348,1150,val
0.4834782608695652,0.78,0.33177699687970685,12,6,gru_h6_e16_u64_d025_lr5e4,16,5348,1150,val
0.4678260869565217,0.7852173913043479,0.32575180975023876,12,9,gru_h9_e12_u48_d020_lr1e3,11,5345,1150,val
0.4817391304347826,0.7808695652173913,0.3333977769933621,12,9,gru_h9_e16_u64_d025_lr5e4,14,5345,1150,val
